Ac,0.3333333333333333
Ag,0.8947368421052632
Al,1.0391459074733096
Ar,0.5
As,0.5813953488372093
Au,2.064
B,1.4871794871794872
Ba,0.5910290237467019
Be,0.8072289156626506
Bi,0.8497652582159625
Br,0.236
C,1.5276073619631902
Ca,0.8633093525179856
Cd,0.7960199004975125
Ce,0.08823529411764706
Cl,0.26450116009280744
Co,0.12121212121212122
Cr,0.0625
Cs,0.26525198938992045
Cu,2.0
Eu,2.0
F,0.19498069498069498
Fe,0.03508771929824561
Ga,1.2244897959183674
Gd,0.14705882352941177
Ge,1.09375
He,0.16666666666666666
Hf,2.1733333333333333
Hg,0.9776119402985075
I,0.21455938697318008
In,1.2731277533039647
Ir,0.075
K,0.298728813559322
Kr,0.3333333333333333
La,1.673913043478261
Li,0.6467236467236467
Lu,2.1714285714285713
Mg,0.7046413502109705
Mn,0.16417910447761194
Mo,2.0350877192982457
N,0.8611111111111112
Na,0.3159090909090909
Nb,1.3953488372093024
Ni,0.010869565217391304
O,0.19047619047619047
P,0.6302816901408451
Pa,2.5714285714285716
Pb,0.8454106280193237
Pd,3.809917355371901
Po,1.75
Pr,0.05405405405405406
Pt,2.9083969465648853
Ra,0.25
Rb,0.3298611111111111
Re,2.38
Rf,3.0
Rn,0.5
S,0.36666666666666664
Sb,0.9418604651162791
Sc,1.9887640449438202
Se,0.501187648456057
Si,0.7290167865707434
Sn,1.0183150183150182
Sr,0.7041800643086816
Ta,1.0680272108843538
Te,0.6536144578313253
Th,1.9193548387096775
Ti,1.6906077348066297
Tl,0.6621004566210046
U,2.4257425742574257
V,0.10344827586206896
W,0.8888888888888888
Xe,0.16666666666666666
Y,1.5058823529411764
Zn,0.8130434782608695
Zr,1.6644295302013423
